Name,wals_code,iso_code,glottocode,latitude,longitude,genus,family,1A Consonant Inventories,2A Vowel Quality Inventories,3A Consonant-Vowel Ratio,4A Voicing in Plosives and Fricatives,5A Voicing and Gaps in Plosive Systems,6A Uvular Consonants,7A Glottalized Consonants,8A Lateral Consonants,9A The Velar Nasal,10A Vowel Nasalization,11A Front Rounded Vowels,12A Syllable Structure,13A Tone,14A Fixed Stress Locations,15A Weight-Sensitive Stress,16A Weight Factors in Weight-Sensitive Stress Systems,17A Rhythm Types,18A Absence of Common Consonants,19A Presence of Uncommon Consonants,20A Fusion of Selected Inflectional Formatives,21A Exponence of Selected Inflectional Formatives,22A Inflectional Synthesis of the Verb,23A Locus of Marking in the Clause,24A Locus of Marking in Possessive Noun Phrases,25A Locus of Marking: Whole-language Typology,26A Prefixing vs. Suffixing in Inflectional Morphology,27A Reduplication,28A Case Syncretism,29A Syncretism in Verbal Person/Number Marking,30A Number of Genders,31A Sex-based and Non-sex-based Gender Systems,32A Systems of Gender Assignment,33A Coding of Nominal Plurality,34A Occurrence of Nominal Plurality,35A Plurality in Independent Personal Pronouns,36A The Associative Plural,37A Definite Articles,38A Indefinite Articles,39A Inclusive/Exclusive Distinction in Independent Pronouns,40A Inclusive/Exclusive Distinction in Verbal Inflection,41A Distance Contrasts in Demonstratives,42A Pronominal and Adnominal Demonstratives,43A Third Person Pronouns and Demonstratives,44A Gender Distinctions in Independent Personal Pronouns,45A Politeness Distinctions in Pronouns,46A Indefinite Pronouns,47A Intensifiers and Reflexive Pronouns,48A Person Marking on Adpositions,49A Number of Cases,50A Asymmetrical Case-Marking,51A Position of Case Affixes,52A Comitatives and Instrumentals,53A Ordinal Numerals,54A Distributive Numerals,55A Numeral Classifiers,56A Conjunctions and Universal Quantifiers,57A Position of Pronominal Possessive Affixes,58A Obligatory Possessive Inflection,59A Possessive Classification,"60A Genitives, Adjectives and Relative Clauses",61A Adjectives without Nouns,62A Action Nominal Constructions,63A Noun Phrase Conjunction,64A Nominal and Verbal Conjunction,65A Perfective/Imperfective Aspect,66A The Past Tense,67A The Future Tense,68A The Perfect,69A Position of Tense-Aspect Affixes,70A The Morphological Imperative,71A The Prohibitive,72A Imperative-Hortative Systems,73A The Optative,74A Situational Possibility,75A Epistemic Possibility,76A Overlap between Situational and Epistemic Modal Marking,77A Semantic Distinctions of Evidentiality,78A Coding of Evidentiality,79A Suppletion According to Tense and Aspect,80A Verbal Number and Suppletion,"81A Order of Subject, Object and Verb",82A Order of Subject and Verb,83A Order of Object and Verb,"84A Order of Object, Oblique, and Verb",85A Order of Adposition and Noun Phrase,86A Order of Genitive and Noun,87A Order of Adjective and Noun,88A Order of Demonstrative and Noun,89A Order of Numeral and Noun,90A Order of Relative Clause and Noun,91A Order of Degree Word and Adjective,92A Position of Polar Question Particles,93A Position of Interrogative Phrases in Content Questions,94A Order of Adverbial Subordinator and Clause,95A Relationship between the Order of Object and Verb and the Order of Adposition and Noun Phrase,96A Relationship between the Order of Object and Verb and the Order of Relative Clause and Noun,97A Relationship between the Order of Object and Verb and the Order of Adjective and Noun,98A Alignment of Case Marking of Full Noun Phrases,99A Alignment of Case Marking of Pronouns,100A Alignment of Verbal Person Marking,101A Expression of Pronominal Subjects,102A Verbal Person Marking,103A Third Person Zero of Verbal Person Marking,104A Order of Person Markers on the Verb,105A Ditransitive Constructions: The Verb 'Give',106A Reciprocal Constructions,107A Passive Constructions,108A Antipassive Constructions,109A Applicative Constructions,110A Periphrastic Causative Constructions,111A Nonperiphrastic Causative Constructions,112A Negative Morphemes,113A Symmetric and Asymmetric Standard Negation,114A Subtypes of Asymmetric Standard Negation,115A Negative Indefinite Pronouns and Predicate Negation,116A Polar Questions,117A Predicative Possession,118A Predicative Adjectives,119A Nominal and Locational Predication,120A Zero Copula for Predicate Nominals,121A Comparative Constructions,122A Relativization on Subjects,123A Relativization on Obliques,124A 'Want' Complement Subjects,125A Purpose Clauses,126A 'When' Clauses,127A Reason Clauses,128A Utterance Complement Clauses,129A Hand and Arm,130A Finger and Hand,131A Numeral Bases,132A Number of Non-Derived Basic Colour Categories,133A Number of Basic Colour Categories,134A Green and Blue,135A Red and Yellow,136A M-T Pronouns,137A N-M Pronouns,138A Tea,139A Irregular Negatives in Sign Languages,140A Question Particles in Sign Languages,141A Writing Systems,142A Para-Linguistic Usages of Clicks,143F Postverbal Negative Morphemes,90B Prenominal relative clauses,144Y The Position of Negative Morphemes in Object-Initial Languages,90C Postnominal relative clauses,144P NegSOV Order,144J SVNegO Order,144N Obligatory Double Negation in SOV languages,144S SOVNeg Order,144X Verb-Initial with Clause-Final Negative,"144A Position of Negative Word With Respect to Subject, Object, and Verb",90G Double-headed relative clauses,90E Correlative relative clauses,144V Verb-Initial with Preverbal Negative,144I SNegVO Order,144R SONegV Order,143B Obligatory Double Negation,144M Multiple Negative Constructions in SOV Languages,144U Double negation in verb-initial languages,144G Optional Double Negation in SVO languages,144K SVONeg Order,144B Position of negative words relative to beginning and end of clause and with respect to adjacency to verb,144F Obligatory Double Negation in SVO languages,90D Internally-headed relative clauses,144E Multiple Negative Constructions in SVO Languages,144D The Position of Negative Morphemes in SVO Languages,"81B Languages with two Dominant Orders of Subject, Object, and Verb",143E Preverbal Negative Morphemes,143C Optional Double Negation,90F Adjoined relative clauses,143A Order of Negative Morpheme and Verb,144W Verb-Initial with Negative that is Immediately Postverbal or between Subject and Object,144O Optional Double Negation in SOV languages,144Q SNegOV Order,144L The Position of Negative Morphemes in SOV Languages,144H NegSVO Order,144C Languages with different word order in negative clauses,144T The Position of Negative Morphemes in Verb-Initial Languages,143G Minor morphological means of signaling negation,143D Optional Triple Negation,39B Inclusive/Exclusive Forms in Pama-Nyungan,137B M in Second Person Singular,136B M in First Person Singular,109B Other Roles of Applied Objects,10B Nasal Vowels in West Africa,25B Zero Marking of A and P Arguments,21B Exponence of Tense-Aspect-Mood Inflection,108B Productivity of the Antipassive Construction,130B Cultural Categories of Languages with Identity of 'Finger' and 'Hand',58B Number of Possessive Nouns,79B Suppletion in Imperatives and Hortatives
Afrikaans,afr,afr,afri1274,-31,22,Germanic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3 Unique periphrastic associative plural,,,,,2 Two-way contrast,1 Identical,,,,,1 Identical,,,,,1 Identity,"6 First, two-th, three-th",1 No distributive numerals,,,,,,,,,,,2 No grammatical marking,"1 Present, no remoteness distinctions",2 No inflectional future,"2 From 'finish', 'already'",,,,,,,,,2 Indirect only,4 Separate particle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Different,2 Different,,,,,,,,2 Words derived from Min Nan Chinese te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albanian,alb,aln,gheg1238,41,20,Albanian,Indo-European,3 Average,3 Large (7-14),3 Average,4 In both plosives and fricatives,2 None missing in /p t k b d g/,1 None,1 No glottalized consonants,"2 /l/, no obstruent laterals",3 No velar nasal,,3 High only,3 Complex,1 No tones,,,,,1 All present,5 'Th' sounds,,,,,,,2 Strongly suffixing,,,,,,,2 Plural suffix,,,4 No associative plural,3 Definite affix,1 Indefinite word distinct from 'one',,,,,,"2 3rd person only, but also non-singular",1 No politeness distinction,,,2 No person marking,4 4 cases,6 Syncretism in relevant NP-types,1 Case suffixes,1 Identity,"6 First, two-th, three-th",5 Marked by preceding word,1 Absent,,4 No possessive affixes,,,6 Highly differentiated,5 Marked by preceding word,3 Ergative-Possessive,1 'And' different from 'with',,,,,,2 Tense-aspect suffixes,2 Second singular,2 Normal imperative + special negative,1 Maximal system,1 Inflectional optative present,2 Verbal constructions,1 Verbal constructions,2 Overlap for either possibility or necessity,2 Indirect only,2 Verbal affix or clitic,,,2 SVO,1 SV,2 VO,,2 Prepositions,2 Noun-Genitive,2 Noun-Adjective,1 Demonstrative-Noun,1 Numeral-Noun,1 Noun-Relative clause,1 Degree word-Adjective,1 Initial,,1 Initial subordinator word,4 VO and Prepositions,4 VO and NRel,4 VO and NAdj,,,2 Accusative,2 Subject affixes on verb,5 Both the A and P arguments,2 No zero realization,3 P precedes A,,,1 Present,,,,,2 Negative particle,1 Symmetric,7 Non-assignable,,1 Question particle,5 'Have',2 Nonverbal encoding,2 Identical,1 Impossible,4 Particle,,,2 Subject is expressed overtly,,,,,,,1 Decimal,,,,,,,1 Words derived from Sinitic cha,,,,1 Logical meanings,4 None,,,1 Noun-Relative clause (NRel) dominant,,7 No SVNegO,,,,2 SNegVO,,,,1 Word&NoDoubleNeg,,,,,,4 No SVONeg,3 Immed preverbal,,,,2 SNegVO,,1 NegV,,,1 NegV,,,,,4 No NegSVO,,,4 None,,,,,,,,,,,,
Alsatian,alt,gsw,swis1247,48.5,7.5,Germanic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Words derived from Min Nan Chinese te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Armenian (Eastern),arm,hye,nucl1235,40,45,Armenian,Indo-European,4 Moderately large,2 Average (5-6),4 Moderately high,3 In fricatives alone,1 Other,3 Uvular continuants only,2 Ejectives only,"2 /l/, no obstruent laterals",3 No velar nasal,2 Contrast absent,1 None,,1 No tones,1 No fixed stress,5 Unbounded: Stress can be anywhere,5 Prominence,4 Undetermined,1 All present,1 None,,,2 2-3 categories per word,,,,2 Strongly suffixing,2 Full reduplication only,3 Core and non-core,3 Not syncretic,1 None,1 No gender,1 No gender,2 Plural suffix,"6 All nouns, always obligatory",5 Person-number stem + pronominal plural affix,4 No associative plural,3 Definite affix,1 Indefinite word distinct from 'one',3 No inclusive/exclusive,3 No inclusive/exclusive,,,3 Related to remote demonstratives,6 No gender distinctions,2 Binary politeness distinction,,1 Identical,2 No person marking,5 5 cases,3 Additive-quantitatively asymmetrical,1 Case suffixes,2 Differentiation,"6 First, two-th, three-th",7 Marked by mixed or other strategies,1 Absent,1 Formally different,2 Possessive suffixes,2 Absent,1 No possessive classification,,,2 Possessive-Accusative,1 'And' different from 'with',,1 Grammatical marking,"1 Present, no remoteness distinctions",2 No inflectional future,3 Other perfect,2 Tense-aspect suffixes,1 Second singular and second plural,2 Normal imperative + special negative,4 Neither type of system,2 Inflectional optative absent,2 Verbal constructions,3 Other,2 Overlap for either possibility or necessity,,,3 Tense and aspect,1 None,7 No dominant order,1 SV,3 No dominant order,6 No dominant order,1 Postpositions,1 Genitive-Noun,1 Adjective-Noun,1 Demonstrative-Noun,1 Numeral-Noun,7 Mixed,1 Degree word-Adjective,6 No question particle,2 Not initial interrogative phrase,1 Initial subordinator word,5 Other,5 Other,5 Other,2 Nominative - accusative (standard),2 Nominative - accusative (standard),2 Accusative,2 Subject affixes on verb,2 Only the A argument,4 Zero in all 3sg forms,1 A and P do not or do not both occur on the verb,,,1 Present,3 No antipassive,8 No applicative construction,2 Purposive but no sequential,2 Morphological but no compound,5 Variation between negative word and affix,3 Both,1 A/Fin,,6 Interrogative intonation only,2 Genitive,2 Nonverbal encoding,2 Identical,1 Impossible,,,,,,,,,,,1 Decimal,,,,,,,2 Words derived from Min Nan Chinese te,,,,,4 None,2 RelN or NRel,,2 NRel or RelN,4 No NegSOV,7 No SVNegO,,11 NoSOVNeg,,16 More than one position,,,,1 Word&NoDoubleNeg,7 Type 1 / Type 2,,16 SONegV/SO[Neg-V]/SNegVO/S[Neg-V]O,,,4 No SVONeg,,,,22 SNegVO/SONegV/S[Neg-V]O/SO[Neg-V],13 More than one construction,1 SOV or SVO,3 NegV&[Neg-V],,,7 Type 1 / Type 3,,,4 No SNegOV,15 More than one construction,4 No NegSVO,,,4 None,,,,,5 No applicative construction,,,,4 no antipassive,,1 None reported,2 Imperative
Armenian (Western),arw,hye,nucl1235,38.5,43.5,Armenian,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,2 Strongly suffixing,2 Full reduplication only,,,,,,2 Plural suffix,,,,3 Definite affix,1 Indefinite word distinct from 'one',,,,,,,,,,,,,1 Case suffixes,,"6 First, two-th, three-th",,,,2 Possessive suffixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,,2 Indirect only,3 Part of the tense system,,,1 SOV,1 SV,1 OV,6 No dominant order,1 Postpositions,1 Genitive-Noun,1 Adjective-Noun,1 Demonstrative-Noun,1 Numeral-Noun,1 Noun-Relative clause,1 Degree word-Adjective,6 No question particle,2 Not initial interrogative phrase,1 Initial subordinator word,1 OV and Postpositions,2 OV and NRel,1 OV and AdjN,,,,2 Subject affixes on verb,,,,,,,,,,,3 Negative auxiliary verb,,,,6 Interrogative intonation only,,,,,,,,,,,,,1 Identical,2 Different,,,,,,,,,,,,,4 None,,,1 Noun-Relative clause (NRel) dominant,,,,11 NoSOVNeg,,16 More than one position,,,,,2 Prefix&NoDoubleNeg,,22 SOV & NegV/[V-Neg],,,,,,,,,,3 NegV&[Neg-V],,,7 Type 1 / Type 3,,,,15 More than one construction,,,,4 None,,,,,,,,,,,,
Armenian (Iranian),arz,hye,nucl1235,32.66666667,51.66666667,Armenian,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Optional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Assamese,ass,asm,assa1263,26,93,Indic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,2 Strongly suffixing,1 Productive full and partial reduplication,,,,,,,,,,,,,,,,,,,1 Interrogative-based,,,,,1 Case suffixes,,,2 Marked by reduplication,3 Obligatory,,,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,,,,,,1 SOV,1 SV,1 OV,,,1 Genitive-Noun,1 Adjective-Noun,1 Demonstrative-Noun,3 No dominant order,,,6 No question particle,2 Not initial interrogative phrase,,,,1 OV and AdjN,,,,2 Subject affixes on verb,,,,,,,,,,,1 Negative affix,,,1 Predicate negation also present,2 Interrogative verb morphology,,,,,,,,1 Subject is left implicit,,,,,,,,,,,,,,1 Words derived from Sinitic cha,,,,,4 None,,,,4 No NegSOV,,,11 NoSOVNeg,,20 MorphNeg,,,,,2 Prefix&NoDoubleNeg,,,,,,,,,,,,2 [Neg-V],,,3 [Neg-V],,,4 No SNegOV,5 SO[Neg-V],,,,4 None,,,,,,,,,,,,
Asturian,ast,ast,astu1245,43.25,-6,Romance,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Words derived from Min Nan Chinese te,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Awadhi,awd,awa,awad1243,27.5,81.5,Indic,Indo-European,,,,,,,,,,,,,,1 No fixed stress,3 Right-edge: Ultimate or penultimate,4 Long vowel or coda consonant,5 No rhythmic stress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengali (Chittagong),bec,ctg,chit1275,22.33333333,91.83333333,Indic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6 6-7 cases,4 Subtractive-quantitatively asymmetrical,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengali,ben,ben,beng1280,24,90,Indic,Indo-European,4 Moderately large,3 Large (7-14),3 Average,2 In plosives alone,2 None missing in /p t k b d g/,1 None,1 No glottalized consonants,"2 /l/, no obstruent laterals",,,1 None,3 Complex,1 No tones,2 Initial,8 Fixed stress (no weight-sensitivity),1 No weight,5 No rhythmic stress,1 All present,1 None,,,,,,,,,,,,,,,,,2 Unique affixal associative plural,,,,,,,,,,,1 Identical,,,,1 Case suffixes,,"6 First, two-th, three-th",2 Marked by reduplication,3 Obligatory,,,,,,,,,,2 No grammatical marking,"1 Present, no remoteness distinctions",1 Inflectional future exists,3 Other perfect,,,,,,,,,,,3 Tense and aspect,1 None,1 SOV,1 SV,1 OV,3 XOV,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Negative particle,,,,,2 Genitive,2 Nonverbal encoding,2 Identical,2 Possible,,,,1 Subject is left implicit,,,,,,,,,,,,,,1 Words derived from Sinitic cha,,,,1 Logical meanings,1 VNeg,,,,4 No NegSOV,,,1 Word&NoDoubleNeg,,8 SOVNeg,,,,,8 No SONegV,,,,,,4 Immed postverbal,,,,,,4 None,,,2 VNeg,,,4 No SNegOV,4 SOVNeg,,,,4 None,,,,,,,,,,,,5 None (= no suppletive imperatives reported in the reference material)
Bagri,bgi,bgq,bagr1243,29.58333333,74.33333333,Indic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Locational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhili,bhi,bhb,bhil1251,22,73,Indic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5/5/2015,4 7-7.5,2 Green/blue,1 Red vs. yellow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhojpuri,bho,bho,bhoj1244,26,84,Indic,Indo-European,,,,,,,,,,,,,,1 No fixed stress,4 Right-oriented: One of the last three,7 Combined,4 Undetermined,,,,,,,,,2 Strongly suffixing,,,,,,,2 Plural suffix,,,,,,,,,,,,,,,,,,1 Case suffixes,,,,,,4 No possessive affixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,,,,,,1 SOV,1 SV,1 OV,3 XOV,1 Postpositions,1 Genitive-Noun,1 Adjective-Noun,1 Demonstrative-Noun,1 Numeral-Noun,,,1 Initial,2 Not initial interrogative phrase,1 Initial subordinator word,1 OV and Postpositions,,1 OV and AdjN,,,,,,,,1 Indirect-object construction,,,,,,,,,,,1 Question particle,,,,,,,,,,,,,,,,,,,,,,,,,,,4 None,,,,4 No NegSOV,,,11 NoSOVNeg,,7 SONegV,,,,,1 Word&NoDoubleNeg,,,,,,3 Immed preverbal,,,,,,1 NegV,,,1 NegV,,,4 No SNegOV,3 SONegV,,,,4 None,,,,,,,,,,,,
Brokskat,bkt,bkk,brok1247,35.33333333,76.5,Indic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4 All nouns, always optional",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Differentiation,,,,,,4 Second person number-neutral,,,,,,,,,,,1 SOV,1 SV,1 OV,,,1 Genitive-Noun,1 Adjective-Noun,1 Demonstrative-Noun,1 Numeral-Noun,,,,,,,,1 OV and AdjN,,,,,,,,1 Indirect-object construction,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Baluchi,blc,bgp,east2304,28,62,Iranian,Indo-European,,,,,,,,,3 No velar nasal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 No grammatical marking,"2 Present, 2-3 remoteness distinctions",1 Inflectional future exists,3 Other perfect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2 Nonverbal encoding,2 Identical,1 Impossible,,,,,,,,,,,,,,,,,,1 Words derived from Sinitic cha,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belorussian,blr,bel,bela1254,54,28,Slavic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,2 Strongly suffixing,,,,,,,,,,,,,,,,,,,,1 Interrogative-based,,,,,1 Case suffixes,,"7 First, second, three-th",,,,,,,,,,,,,,,,4 Mixed type,,,,,,,,,,3 Tense and aspect,1 None,7 No dominant order,3 No dominant order,3 No dominant order,6 No dominant order,,2 Noun-Genitive,1 Adjective-Noun,1 Demonstrative-Noun,,1 Noun-Relative clause,,1 Initial,,,5 Other,5 Other,5 Other,,,,,,,,,,,,,,,2 Negative particle,,,,1 Question particle,,,,,,,,,,,,,1 Identical,2 Different,,,,,,,,1 Words derived from Sinitic cha,,,,,4 None,,,1 Noun-Relative clause (NRel) dominant,,,,,,,,,,,,,,,,,,,,,,,1 NegV,,,1 NegV,,,,,,,,4 None,,,,,,,,,,,,5 None (= no suppletive imperatives reported in the reference material)
Bosnian,bos,bos,bosn1245,43,18,Slavic,Indo-European,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1 Logical meanings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Breton,bre,bre,bret1244,48,-3,Celtic,Indo-European,3 Average,3 Large (7-14),3 Average,4 In both plosives and fricatives,2 None missing in /p t k b d g/,1 None,1 No glottalized consonants,"2 /l/, no obstruent laterals",,,2 High and mid,3 Complex,1 No tones,6 Penultimate,8 Fixed stress (no weight-sensitivity),1 No weight,,1 All present,1 None,,,,,,,3 Weakly suffixing,,,,,,,2 Plural suffix,,,,1 Definite word distinct from demonstrative,1 Indefinite word distinct from 'one',,,,,,,2 Binary politeness distinction,,,,,,7 Prepositional clitics,1 Identity,"7 First, second, three-th",,,,2 Possessive suffixes,,,,,,1 'And' different from 'with',,,,,,2 Tense-aspect suffixes,1 Second singular and second plural,,,,,,,1 No grammatical evidentials,1 No grammatical evidentials,,,2 SVO,2 VS,2 VO,,2 Prepositions,2 Noun-Genitive,2 Noun-Adjective,2 Noun-Demonstrative,1 Numeral-Noun,1 Noun-Relative clause,3 No dominant order,1 Initial,1 Initial interrogative phrase,1 Initial subordinator word,4 VO and Prepositions,4 VO and NRel,4 VO and NAdj,,,,2 Subject affixes on verb,,,,,,,,,,,6 Double negation,,,,1 Question particle,1 Locational,2 Nonverbal encoding,2 Identical,1 Impossible,1 Locational,,,,,,,,2 Different,2 Different,,,,,,,,2 Words derived from Min Nan Chinese te,,,,,1 VNeg,,,1 Noun-Relative clause (NRel) dominant,,5 Word&OnlyWithAnotherNeg,,,,18 ObligDoubleNeg,,,,5 Word&OnlyWithAnotherNeg,,13 Type 1 / Type 7,,,,4 No SVONeg,,12 SNegNegVO/SNegVNegO,,,14 ObligNeg,,1 NegV,,,14 ObligDoubleNeg,,,,,4 No NegSVO,,,4 None,,,,,,,,,,,,
Bulgarian,bul,bul,bulg1262,42.5,25,Slavic,Indo-European,3 Average,2 Average (5-6),3 Average,4 In both plosives and fricatives,2 None missing in /p t k b d g/,1 None,1 No glottalized consonants,"2 /l/, no obstruent laterals",,,1 None,3 Complex,1 No tones,,,,,1 All present,1 None,,,,,,,2 Strongly suffixing,,,,,,,2 Plural suffix,,,2 Unique affixal associative plural,1 Definite word distinct from demonstrative,,,,,,,,,1 Interrogative-based,2 Differentiated,,1 No morphological case-marking,3 Additive-quantitatively asymmetrical,9 No case affixes or adpositional clitics,,"7 First, second, three-th",5 Marked by preceding word,1 Absent,,4 No possessive affixes,,,,,3 Ergative-Possessive,1 'And' different from 'with',,1 Grammatical marking,"1 Present, no remoteness distinctions",2 No inflectional future,3 Other perfect,2 Tense-aspect suffixes,1 Second singular and second plural,4 Special imperative + special negative,1 Maximal system,2 Inflectional optative absent,,,,3 Direct and indirect,3 Part of the tense system,1 Tense,1 None,2 SVO,3 No dominant order,2 VO,1 VOX,2 Prepositions,3 No dominant order,1 Adjective-Noun,1 Demonstrative-Noun,1 Numeral-Noun,1 Noun-Relative clause,1 Degree word-Adjective,3 Second position,1 Initial interrogative phrase,1 Initial subordinator word,4 VO and Prepositions,4 VO and NRel,3 VO and AdjN,,,,2 Subject affixes on verb,,,,,3 Mixed,,,,,,2 Negative particle,,,1 Predicate negation also present,1 Question particle,,2 Nonverbal encoding,2 Identical,1 Impossible,,1 Relative pronoun,1 Relative pronoun,2 Subject is expressed overtly,,,,,,,,,,,,,,1 Words derived from Sinitic cha,,,,1 Logical meanings,4 None,,,1 Noun-Relative clause (NRel) dominant,,7 No SVNegO,,,,2 SNegVO,,,,1 Word&NoDoubleNeg,,,,,,4 No SVONeg,3 Immed preverbal,,,,2 SNegVO,,1 NegV,,,1 NegV,,,,,4 No NegSVO,,,4 None,,,,,,,,,,,,1 A regular and a suppletive form alternate
Cornish,crn,cor,corn1251,50.33333333,-5,Celtic,Indo-European,,,,,,,,,,,,,,6 Penultimate,8 Fixed stress (no weight-sensitivity),1 No weight,1 Trochaic,,,,,,,,,2 Strongly suffixing,,,,,,,2 Plural suffix,,,,1 Definite word distinct from demonstrative,"4 No indefinite, but definite article",,,,,,,2 Binary politeness distinction,,,,,,9 No case affixes or adpositional clitics,,,,,,4 No possessive affixes,,,,,,,,,,,,2 Tense-aspect suffixes,,,,,,,,,,,,2 SVO,1 SV,2 VO,,2 Prepositions,2 Noun-Genitive,2 Noun-Adjective,2 Noun-Demonstrative,1 Numeral-Noun,1 Noun-Relative clause,,1 Initial,2 Not initial interrogative phrase,1 Initial subordinator word,4 VO and Prepositions,4 VO and NRel,4 VO and NAdj,,,,2 Subject affixes on verb,,,,,,,,,,,2 Negative particle,,,,1 Question particle,,,,,,,,,,,,,2 Different,2 Different,,,,,,,,,,,,,4 None,,,1 Noun-Relative clause (NRel) dominant,,,,,4 No clause-final neg,9 NegVSO,,,"1 Separate word, no double negation	Word&NoDoubleNeg",,,,,,,,3 Immed preverbal,,,,,,1 NegV,,,1 NegV,6 None,,,,,"5 SVO, but NegVSO",7 SVO but NegVSO,4 None,,,,,,,,,,,,
